"","Aglais_urticae","Anthaxia_sp","Apis_mellifera","Autographa_gamma","Bombus_hortorum","Bombus_hypnorum","Bombus_lapidarius","Bombus_pascuorum","Bombus_pratorum","bombus_soroeensis","Bombus_sp","Bombus_terrestris_agg","Chrysogaster_solstitialis","Chrysotoxum_bicinctum","Coccinellidae","Coenonympha_pamphilus","Conops_quadrifasciatus","Dasysyrphus_tricinctus","Epeoloides_coecutiens","Episyrphus_balteatus","Eristalinus_aeneus","Eristalis_arbustorum","Eristalis_horticola","Eristalis_interrupta","Eristalis_intricaria","Eristalis_jugorum","Eristalis_pertinax","Eristalis_tenax","Halictidae","Helophilus_pendulus","Helophilus_trivittatus","Lasiommata_megera","Maniola_jurtina","Melanostoma_mellinum","Meligethes_sp","Melitaea","Myathropa_florea","Oulema_sp","Panorpa_sp","Pieris_napi","Pieris_rapae","Platycheirus_sp","Sericomyia_silentis","Sphaerophoria_scripta","Stenurella_melanura","Stictoleptura_rubra","Syritta_pipiens","Tenthredo_arcuata","Tenthredo_zonula","Thymelicus_sp","Vanessa_cardui"
"Achillea_millefolium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Achillea_ptarmica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,2,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,6,1,0,2,0,0,0,0
"Angelica_sylvestris",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Centaurea_jacea",2,0,15,12,2,0,74,20,1,33,7,9,0,0,1,8,0,0,1,1,0,1,0,5,0,0,0,3,1,0,0,0,3,0,0,2,0,0,0,5,13,0,8,6,0,0,0,0,0,0,1
"Cirisum_arvense",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0
"Cirsium_canum",0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Cirsium_palustre",1,0,0,0,0,0,1,1,0,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"Crepis_biennis",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,6,0
"Daucus_carota",0,0,1,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,1,12,1,10,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,2,0,0,0
"Heracleum_sphondylium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0
