"","Aglais_urticae","Andrena_spp","Anthaxia_sp","Apis_mellifera","Araschnia_levana","Bombus_lapidarius","Bombus_pascuorum","Bombus_sylvarum","Bombus_terrestris_agg","Chrysogaster_solstitialis","Coccinellidae","Coenonympha_pamphilus","Crambidae","Cryptocephalus_sp","Episyrphus_balteatus","Eristalis_arbustorum","Eristalis_interruptus","Eristalis_intricaria","Eristalis_pertinax","Eristalis_similis","Eristalis_tenax","Helophilus_hybridus","Helophilus_pendulus","Helophilus_trivittatus","Maniola_jurtina","Melanostoma_mellinum","Melitaea","Miridae","Myathropa_florea","Nitidulidae","Phasia_sp","Pieris_brassicae","Pieris_rapae","Pipizella","Platycheirus_sp","Pyrophaena_granditarsis","Scaeva_pyrastri","Sericomyia_silentis","Sphaerophoria_scripta","Syritta_pipiens"
"Achillea_millefolium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Achillea_ptarmica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,3,0,3,0,0,0,5,4,1,0,0,1,0,2,2,0,0,0,0,0,0,0,2,11
"Betonica_officinalis",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Centaurea_jacea",0,0,0,0,0,22,1,1,0,0,0,8,0,1,0,1,2,1,1,0,13,0,1,17,2,0,0,10,0,0,0,0,2,0,0,0,0,1,0,0
"Cirisum_arvense",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cirsium_canum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cirsium_palustre",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cuscuta_europaea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Daucus_carota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Galium_album",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"Galium_uliginosum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Lathyrus_pratensis",0,0,0,4,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
"Leontodon_hispidus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
