"","Aglais_urticae","Ammophila_sp","Apis_mellifera","Autographa_gamma","Bombus_bohemicus","Bombus_humilis","Bombus_lapidarius","Bombus_pascuorum","Bombus_ruderarius","Bombus_sylvarum","Bombus_terrestris_agg","Cheilosia_illustrata","Chrysogaster_solstitialis","Chrysotoxum_bicinctum","Coccinellidae","Coenonympha_pamphilus","Conops_quadrifasciatus","Dasysyrphus_tricinctus","Elateridae","Episyrphus_balteatus","Eristalis_arbustorum","Eristalis_horticola","Eristalis_interrupta","Eristalis_intricaria","Eristalis_jugorum","Eristalis_pertinax","Eristalis_tenax","Gonepteryx_rhamni","Halictidae","Helophilus_hybridus","Helophilus_pendulus","Helophilus_trivittatus","Maniola_jurtina","Melanargia_galathea","Melanostoma_mellinum","Meligethes_sp","Meliscaeva_cinctella","Melitaea","Myathropa_florea","Oulema_sp","Oxytirea_funesta","Panorpa_sp","Paragus_sp","Phasia_sp","Pieris_napi","Pieris_rapae","Platycheirus_sp","Pyrophaena_rosarum","Rhingia_campestris","Scaeva_pyrastri","Sericomyia_silentis","Sicus_ferrugineus","Sphaerophoria_scripta","Stenurella_melanura","Stictoleptura_rubra","Syritta_pipiens","Tenthredo_arcuata","Tenthredo_zonula","Thymelicus_sp","Thysanoptera","Tipulidae","Vespula_sp","Volucella_pellucens","Xylota_sp"
"Achillea_millefolium",1,0,1,0,0,0,1,0,0,0,0,0,2,0,10,1,3,0,0,23,10,0,36,0,0,0,7,0,5,0,1,0,0,0,3,16,0,0,0,0,0,11,0,1,0,0,9,0,0,0,0,1,313,25,0,4,6,0,0,0,0,0,0,0
"Achillea_ptarmica",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,4,0,10,0,0,1,6,0,1,1,3,1,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,2,0,0,0,0,1,0,0,0
"Betonica_officinalis",0,0,0,1,0,0,1,3,0,0,2,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
"Centaurea_jacea",3,0,267,1,1,1,267,20,4,4,27,0,0,1,6,1,5,0,0,3,0,0,8,1,0,0,55,0,5,1,11,29,2,0,1,3,0,1,1,0,2,1,0,0,0,3,4,1,0,0,2,3,14,1,0,0,0,0,0,0,0,0,0,0
"Cirsium_canum",0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cirsium_palustre",0,0,36,1,0,0,26,2,1,1,2,0,0,0,3,0,2,0,0,5,0,0,4,1,0,0,28,0,14,0,1,10,0,0,0,53,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0
"Crepis_biennis",0,0,2,0,0,0,6,1,0,0,0,0,0,0,6,0,0,1,0,75,3,0,12,0,0,0,70,0,19,0,2,2,0,1,2,4039,0,0,0,1,0,5,1,0,0,0,18,0,0,5,0,0,302,0,0,0,1,0,1,0,0,0,0,0
"Daucus_carota",0,0,1,0,0,0,0,0,0,0,0,0,10,2,7,0,0,1,0,9,6,2,15,0,0,0,3,0,11,1,0,0,0,0,7,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,15,0,0,0,0,0,0,0
"Galium_album",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"Geranium_pratense",1,0,319,1,0,0,191,3,0,0,11,0,0,0,5,0,0,0,0,10,0,0,0,0,0,0,1,0,36,0,0,0,0,0,2,1,0,0,0,0,0,2,0,0,0,0,23,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
"Heracleum_sphondylium",0,8,0,0,0,0,0,0,0,0,0,1,4,12,28,0,1,2,2,125,4,0,11,0,1,0,12,0,3,0,1,0,0,0,79,12,8,0,5,0,0,2,0,0,0,0,23,0,0,9,0,0,75,3,1,3,62,10,0,0,0,4,0,1
"Hypericum_maculatum",0,0,13,0,0,0,19,0,0,0,5,0,2,0,6,0,0,0,0,44,3,1,12,0,0,0,8,0,2,0,2,1,0,0,6,14,2,0,0,1,0,6,0,0,1,1,12,0,0,1,0,0,27,0,0,5,1,0,0,20,0,0,0,0
"Lathyrus_pratensis",0,0,0,0,0,0,2,10,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"Leontodon_autumnalis",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,10,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Leontodon_hispidus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Leucanthemum_vulgare",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2,0,1,0,0,0,0,0,0,0,0
"Lotus_corniculatus",0,0,4,0,0,0,24,2,0,0,1,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"Lysimachia_vulgaris",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lythrum_salicaria",2,0,199,0,0,0,16,2,0,0,3,0,0,0,22,0,0,0,0,3,0,0,0,0,0,0,27,0,13,1,5,7,0,0,1,1,0,0,0,0,0,4,0,0,1,1,1,0,0,0,0,0,36,0,0,0,0,0,2,0,0,0,0,0
"Mentha_arvensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Myosotis_palustris",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pimpinella_saxifraga",0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,10,0,0,4,1,0,0,0,0,0,0,0
"Plantago_lanceolata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,1,0,0,0,1,0,4,0,0,0,0,64,0,0,0,0,0,10,0,0,1,0,0,0,0,0,0,0,0
"Potentilla_anserina",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Potentilla_erecta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0
"Prunella_vulgaris",0,0,18,0,0,0,18,7,0,0,2,0,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
"Ranunculus_acris",0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,32,0,0,3,0,1,0,3,0,10,1,2,0,0,0,13,1265,4,0,0,0,0,2,1,0,0,0,9,0,0,0,0,0,667,0,0,2,0,0,0,1,0,0,0,1
"Ranunculus_flammula",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,19,0,0,0,0,0,0,0,1,0,0,0
"Sanguisorba_officinalis",0,0,4,0,0,0,1,0,0,0,1,0,0,0,109,0,0,0,0,188,0,0,0,0,0,0,1,0,1,0,0,0,0,0,33,0,0,0,0,2,0,14,0,0,0,0,24,0,0,5,0,0,216,1,0,0,0,0,0,0,0,0,0,0
"Selinum_carvifolia",0,0,0,0,0,0,1,0,0,0,0,0,30,14,9,0,1,0,0,58,5,0,19,0,0,0,8,0,5,0,2,1,0,0,20,2,1,0,0,1,0,5,0,0,0,0,20,0,0,8,0,0,213,11,0,7,50,0,0,0,0,0,0,0
"Senecio_aquatica",0,0,5,0,0,0,1,1,0,0,0,0,0,0,9,0,3,0,0,34,3,0,7,1,0,0,8,0,16,0,0,0,0,0,3,137,0,0,0,0,0,5,0,0,0,0,93,0,0,2,0,0,1767,1,0,23,0,0,1,0,0,0,0,0
"Serratula_tinctoria",0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
"Stellaria_graminea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Succisa_pratensis",0,0,0,0,0,0,3,1,1,0,1,0,0,0,0,0,3,1,0,0,3,1,66,0,0,0,100,0,0,21,15,27,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,29,0,1,0,0,1,0,0,0,0,1,0,3,0
"Trifolium_hybridum",0,0,93,0,0,0,10,1,0,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,2,4,0,0,0,0,0,1,0,0,1,0,3,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0
"Trifolium_pratense",0,0,1,0,0,0,15,29,0,0,5,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,5,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0
"Trifolium_repens",0,0,16,0,0,0,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
