"","Adelidae","Aglais_urticae","Anthaxia_sp","Apionidae","Apis_mellifera","Autographa_gamma","Bombus_lapidarius","Bombus_pascuorum","bombus_soroeensis","Bombus_terrestris_agg","Chloromyia_formosa","Chrysogaster_solstitialis","Chrysotoxum_bicinctum","Coccinellidae","Coenonympha_pamphilus","Conops_quadrifasciatus","Epeoloides_coecutiens","Episyrphus_balteatus","Eristalinus_aeneus","Eristalis_arbustorum","Eristalis_interrupta","Eristalis_intricaria","Eristalis_pertinax","Eristalis_similis","Eristalis_tenax","Halictidae","Helophilus_hybridus","Helophilus_pendulus","Helophilus_trivittatus","Maniola_jurtina","Melanostoma_mellinum","Meligethes_sp","Meliscaeva_cinctella","Myathropa_florea","Oulema_sp","Panorpa_sp","Phasia_sp","Pieris_napi","Pieris_rapae","Platycheirus_sp","Pseudoanthidium_lituratum","Pyrophaena_granditarsis","Pyrophaena_rosarum","Rhingia_campestris","Scaeva_pyrastri","Sericomyia_silentis","Sicus_ferrugineus","Sphaerophoria_scripta","Stenurella_melanura","Stictoleptura_rubra","Syritta_pipiens","Tenthredo_arcuata","Tenthredo_zonula","Thymelicus_sp","Tipulidae","Vespula_sp","Volucella_pellucens","Xylota_sp"
"Achillea_millefolium",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,2,0,0,0,0,0,0,0
"Achillea_ptarmica",0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,5,0,0,0,0,0,0,0
"Angelica_sylvestris",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Centaurea_jacea",0,1,0,0,62,0,66,3,2,13,0,1,1,0,20,4,0,0,0,0,9,2,0,0,33,1,0,3,5,2,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,9,0,13,0,0,0,0,0,3,1,0,0,0
"Cirisum_arvense",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,2,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,6,0,0,1,0,0,0,0,0,0,0
"Cirsium_palustre",0,0,0,0,4,0,4,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Crepis_biennis",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0
"Cuscuta_europaea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Daucus_carota",0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,4,0,0,3,1,0,0,0,0,0,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,1,2,0,0,0,0,0,0,0
"Heracleum_sphondylium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
"Hypericum_maculatum",1,0,0,0,86,0,2,0,0,6,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0
"Lathyrus_pratensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Leontodon_autumnalis",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
"Leontodon_hispidus",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,1,0,0,0,0
"Lotus_corniculatus",0,0,0,0,0,0,7,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"Lythrum_salicaria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mentha_arvensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Pimpinella_saxifraga",0,0,0,0,0,0,0,0,0,0,0,5,2,3,0,0,0,1,0,3,2,0,1,1,2,0,0,0,1,0,6,2,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,75,1,0,6,1,2,0,0,0,0,0
"Plantago_lanceolata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Potentilla_anserina",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"Potentilla_erecta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
"Prunella_vulgaris",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ranunculus_acris",0,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,2,1,0,1,0,0,3,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,137,0,0,1,0,0,0,0,0,0,1
"Ranunculus_flammula",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0
"Sanguisorba_officinalis",0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,19,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0
"Selinum_carvifolia",0,0,0,0,2,0,0,0,0,0,0,4,0,1,3,0,1,1,0,9,22,0,27,3,11,2,0,0,2,0,7,0,0,1,0,2,6,1,0,0,0,0,0,0,0,0,0,107,0,0,10,3,1,0,0,2,0,0
"Serratula_tinctoria",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Succisa_pratensis",0,3,0,0,2,1,3,1,0,8,0,0,0,0,8,2,0,0,0,0,23,1,9,0,50,0,1,8,6,2,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,21,0,2,0,0,0,0,0,0,0,0,3,0
"Trifolium_hybridum",0,0,0,0,9,0,1,1,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Trifolium_pratense",0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Trifolium_repens",0,0,0,0,15,0,0,2,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
