"","Aglais_urticae","Alticinae","Apis_mellifera","Autographa_gamma","Bombus_lapidarius","Bombus_pascuorum","Bombus_terrestris_agg","Chrysogaster_solstitialis","Coccinellidae","Coenonympha_pamphilus","Dasysyrphus_albostriatus","Episyrphus_balteatus","Eristalis_arbustorum","Eristalis_interruptus","Eristalis_intricaria","Eristalis_pertinax","Eristalis_similis","Eristalis_tenax","Helophilus_hybridus","Helophilus_pendulus","Helophilus_sp","Helophilus_trivittatus","Maniola_jurtina","Melanostoma_mellinum","Myathropa_florea","Nitidulidae","Pieris_rapae","Scaeva_pyrastri","Sericomyia_silentis","Sphaerophoria_scripta","Syritta_pipiens","Thymelicus_sp","Vespula_sp"
"Achillea_millefolium",0,0,3,0,0,0,0,1,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,4,2,0,0
"Achillea_ptarmica",0,0,0,1,0,0,0,0,1,6,0,4,4,1,0,2,0,11,2,7,0,5,0,1,0,0,0,0,0,16,70,0,0
"Centaurea_jacea",1,0,28,7,31,22,18,0,0,11,0,0,0,0,0,0,0,10,4,5,0,34,1,0,0,1,2,0,0,2,0,1,0
"Cirisum_arvense",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"Cirsium_palustre",0,0,0,0,8,8,2,0,0,0,0,0,0,0,0,0,0,5,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0
"Crepis_biennis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cuscuta_europaea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Daucus_carota",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hypericum_sp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0
"Lotus_corniculatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mentha_arvensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pimpinella_saxifraga",0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,6,8,1,0
"Potentilla_erecta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ranunculus_acris",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Ranunculus_flammula",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sanguisorba_officinalis",0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,10,0,0,0,0,0,7,0,0,0
"Selinum_carvifolia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,6,0,1
"Serratula_tinctoria",0,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
"Succisa_pratensis",2,1,17,21,7,8,70,0,0,8,1,2,46,68,5,83,8,315,44,82,2,153,1,0,3,0,1,2,9,1,0,0,0
"Trifolium_pratense",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
