"","Aglais_urticae","Alticinae","Andrena_spp","Apis_mellifera","Bombus_lapidarius","Bombus_pascuorum","Bombus_pratorum","bombus_soroeensis","Bombus_sp","Bombus_terrestris_agg","Chrysogaster_solstitialis","Coccinellidae","Coenonympha_pamphilus","Dolichopodidae","Episyrphus_balteatus","Eristalis_arbustorum","Eristalis_interruptus","Eristalis_intricaria","Eristalis_pertinax","Eristalis_tenax","Helophilus_pendulus","Helophilus_sp","Helophilus_trivittatus","Maniola_jurtina","Melanostoma_mellinum","metalicky_zbarvena_pestrenka","Myathropa_florea","Nitidulidae","Phasia_sp","Pieris_brassicae","Pieris_napi","Pieris_rapae","Psithyrus","Sericomyia_silentis","Sphaerophoria_scripta","Syritta_pipiens","Thymelicus_sp","Volucella_pellucens","Xylota_sp"
"Achillea_millefolium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Achillea_ptarmica",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,15,2,0,0,13,1,0,1,0,0,0,0,0,2,0,0,1,0,0,6,4,0,0,0
"Centaurea_jacea",0,0,1,49,63,4,1,2,0,7,0,1,7,0,0,0,1,0,0,23,0,2,11,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
"Cirsium_palustre",0,0,0,2,11,5,0,0,0,5,0,0,0,0,0,0,0,0,1,4,0,0,3,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0
"Crepis_biennis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Daucus_carota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Galium_album",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Galium_sp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hypericum_sp",0,0,1,50,4,1,0,0,0,30,0,0,1,0,0,0,1,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,1,0,0,0
"Lathyrus_pratensis",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Leontodon_autumnalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Leontodon_hispidus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Leucanthemum_vulgare",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"Lotus_corniculatus",0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Mentha_arvensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"Myosotis_palustris",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Pimpinella_saxifraga",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,4,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0
"Plantago_lanceolata",0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Potentilla_anserina",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Potentilla_erecta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,8,0,0,0,0,0,0,1,0,0,24,6,0,0,1
"Prunella_vulgaris",0,0,0,1,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ranunculus_acris",0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,1,1,0,1,6,2,0,3,0,3,0,0,2,0,0,0,0,0,0,33,3,0,0,0
"Ranunculus_flammula",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,5,0,0,0,0,0,0,0,0,0,12,1,0,0,0
