"","Anasimyia_lineata","Andrena_spp","Anthaxia_sp","Anthrax_anthrax","Apis_mellifera","Bombus_lapidarius","Bombus_pascuorum","bombus_soroeensis","Bombus_terrestris_agg","Chrysogaster_solstitialis","Coccinellidae","Coenonympha_pamphilus","Cryptocephalus_sp","Dasysyrphus_albostriatus","Epeoloides_sp","Episyrphus_balteatus","Eristalis_arbustorum","Eristalis_interruptus","Eristalis_intricaria","Eristalis_lineata_B","Eristalis_pertinax","Eristalis_tenax","Helophilus_hybridus","Helophilus_pendulus","Helophilus_sp","Helophilus_trivittatus","Maniola_jurtina","Melanostoma_mellinum","Myathropa_florea","Nitidulidae","Nomada_sp","Panorpa_sp","Paragus_sp","Pieris_brassicae","Pieris_napi","Pieris_rapae","Pipizella","Platycheirus_sp","Pseudoanthidium_lituratum","Sericomyia_silentis","Sphaerophoria_scripta","Staphylinidae","Stratiomyidae","Syritta_pipiens","Thymelicus_sp","Thysanoptera","Vanessa_atalanta","Vespula_sp"
"Achillea_millefolium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Angelica_sylvestris",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Centaurea_jacea",0,0,0,0,699,43,0,3,1,0,0,7,1,0,5,0,1,4,0,0,0,22,15,21,1,215,12,0,0,0,2,0,0,2,2,1,0,0,0,2,11,0,0,0,1,0,0,0
"Cirsium_canum",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cirsium_palustre",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Crepis_biennis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"Daucus_carota",0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,1,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"Galium_album",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
"Galium_uliginosum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"Heracleum_sphondylium",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"Lathyrus_pratensis",0,0,0,0,18,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0
"Leontodon_autumnalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"Leontodon_hispidus",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,41,0,4,0,12,0,0,0,17,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,1,0
"Leucanthemum_vulgare",0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,1,0,0,0,0
"Lotus_corniculatus",0,0,0,0,13,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"Lychnis_floscuculi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lythrum_salicaria",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mentha_arvensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Myosotis_palustris",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
"Pimpinella_saxifraga",0,2,0,0,1,0,0,0,0,47,2,0,1,0,0,11,48,33,0,1,6,12,6,8,0,23,0,2,2,0,0,0,1,0,0,0,0,1,0,0,66,0,2,15,0,0,0,0
"Plantago_lanceolata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,1,0,89,0,0,0,0,0,0,0,0,0,10,0,0,8,0,0,0,0,0,0,0
"Potentilla_anserina",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
"Potentilla_erecta",0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,8,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,152,0,0,12,0,0,0,0
"Prunella_vulgaris",0,0,0,0,185,12,1,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,7,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,2,0,0,0
"Ranunculus_acris",1,52,4,1,4,0,0,0,0,1,0,4,1,0,0,15,0,1,0,0,0,11,3,11,0,24,0,0,0,25,2,0,0,0,0,0,0,1,0,2,393,1,0,10,2,1,0,0
"Ranunculus_flammula",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,1,0,0,0,0,1,0,0,0,25,0,0,2,0,0,0,0
"Sanguisorba_officinalis",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,2,5,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0
"Selinum_carvifolia",0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,5,0,0,2,2,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
"Serratula_tinctoria",0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Succisa_pratensis",0,1,0,0,2,0,1,0,1,0,0,0,0,0,0,0,1,100,2,0,9,193,9,45,0,132,1,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,0,1,0,0,0,0
"Trifolium_hybridum",0,0,0,0,43,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Trifolium_medium",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Trifolium_pratense",0,1,0,0,11,3,7,1,2,0,0,1,4,0,0,0,0,0,0,0,0,1,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Trifolium_repens",0,0,0,0,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
