"","Aglais_urticae","Anasimyia_lineata","Andrena_spp","Apis_mellifera","Bombus_lapidarius","Bombus_pascuorum","Bombus_sp","Bombus_sylvarum","Bombus_terrestris_agg","Chrysotoxum_bicinctum","Coccinellidae","Coenonympha_pamphilus","Coreidae","Crambidae","Cryptocephalus_sp","Episyrphus_balteatus","Eristalis_arbustorum","Eristalis_interruptus","Eristalis_intricaria","Eristalis_pertinax","Eristalis_tenax","Helophilus_pendulus","Helophilus_sp","Helophilus_trivittatus","Maniola_jurtina","Melanostoma_mellinum","Miridae","Myathropa_florea","Nitidulidae","Phasia_sp","Pieris_rapae","Platycheirus_sp","Sericomyia_silentis","Sicus_ferrugineus","Sphaerophoria_scripta","Syritta_pipiens","Thymelicus_sp","Vespa_crabro","Volucella_pellucens","Xylota_sp"
"Achillea_millefolium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Achillea_ptarmica",0,0,2,4,0,0,0,0,0,0,0,10,0,1,0,0,3,2,0,1,15,12,1,2,0,2,3,0,2,3,0,0,0,0,8,4,0,0,0,0
"Angelica_sylvestris",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Betonica_officinalis",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Centaurea_jacea",0,0,0,810,421,67,1,4,3,0,0,29,0,2,1,1,0,0,1,0,40,7,1,1,6,0,21,1,0,0,1,0,0,0,0,0,2,0,0,0
"Cirsium_palustre",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cuscuta_europaea",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Daucus_carota",0,0,0,1,3,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,1,0,4,0,0,0,0,1,0,0,1,0,0
"Heracleum_sphondylium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hypericum_maculatum",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Leontodon_autumnalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Leontodon_hispidus",0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Lotus_corniculatus",0,0,0,2,6,28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"Mentha_arvensis",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pimpinella_saxifraga",0,0,0,1,1,0,0,0,0,1,0,3,0,3,1,0,8,1,0,2,12,1,0,2,0,1,3,2,0,4,0,0,0,0,15,2,0,0,0,0
"Plantago_lanceolata",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Potentilla_anserina",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Potentilla_erecta",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1
"Prunella_vulgaris",0,0,0,3,2,20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ranunculus_acris",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0
"Ranunculus_flammula",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0
"Sanguisorba_officinalis",0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Selinum_carvifolia",0,1,0,3,0,0,0,0,0,0,1,0,1,0,1,0,3,4,1,0,17,0,1,0,0,1,1,0,0,0,0,0,0,0,3,1,0,0,0,0
"Serratula_tinctoria",0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Succisa_pratensis",1,0,0,18,50,14,1,2,9,0,0,7,0,0,0,3,3,7,17,7,335,20,2,12,2,0,0,0,0,0,0,0,6,2,0,0,0,0,1,0
"Trifolium_pratense",0,0,0,1,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Trifolium_repens",0,0,0,3,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
