"","Andrena_spp","Anthaxia_sp","Apis_mellifera","Araschnia_levana","Autographa_gamma","Boloria_dia","Bombus_lapidarius","Bombus_pascuorum","bombus_soroeensis","Bombus_terrestris_agg","Coccinellidae","Coenonympha_pamphilus","Coreidae","Eristalinus_aeneus","Eristalis_arbustorum","Eristalis_interruptus","Eristalis_intricaria","Eristalis_pertinax","Eristalis_tenax","Helophilus_hybridus","Helophilus_pendulus","Helophilus_sp","Helophilus_trivittatus","Issoria_lathonia","Maniola_jurtina","Myathropa_florea","Pieris_brassicae","Pieris_napi","Pieris_rapae","Pontia_edusa","Rhingia_campestris","Sphaerophoria_scripta","Syritta_pipiens","Vespa_crabro","Volucella_pellucens"
"Achillea_millefolium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Achillea_ptarmica",0,0,0,0,0,1,0,0,0,1,4,3,0,4,19,2,0,0,23,0,12,0,6,0,1,0,0,0,0,0,0,9,32,0,0
"Centaurea_jacea",3,0,86,1,0,10,146,119,13,14,1,1,0,0,0,0,1,0,6,0,5,2,8,16,1,0,1,1,7,1,1,0,0,0,0
"Cirisum_arvense",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cirsium_canum",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"Cirsium_palustre",0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Crepis_biennis",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cuscuta_europaea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Daucus_carota",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Heracleum_sphondylium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hypericum_sp",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lathyrus_pratensis",0,0,1,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lotus_corniculatus",0,0,0,0,0,2,0,8,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pimpinella_saxifraga",0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Sanguisorba_officinalis",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Selinum_carvifolia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Serratula_tinctoria",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"Succisa_pratensis",2,0,12,5,1,12,6,66,0,28,3,5,0,0,33,47,2,11,464,7,417,3,192,9,1,2,1,0,9,0,0,0,0,1,2
