"","Aglais_urticae","Alticinae","Ammophila_sp","Andrena_spp","Anthaxia_sp","Apis_mellifera","Bombus_lapidarius","Bombus_pascuorum","bombus_soroeensis","Bombus_terrestris_agg","Ceratina_cyanea","Coccinellidae","Coenonympha_pamphilus","Coreidae","Cryptocephalus_sp","Episyrphus_balteatus","Eristalinus_aeneus","Eristalis_arbustorum","Eristalis_interruptus","Eristalis_intricaria","Eristalis_pertinax","Eristalis_similis","Eristalis_tenax","Helophilus_hybridus","Helophilus_pendulus","Helophilus_trivittatus","Lagriinae","Maniola_jurtina","Melanostoma_mellinum","Myathropa_florea","Nitidulidae","Nymphalidae","Oxytirea_funesta","Scaeva_pyrastri","Sericomyia_silentis","Sphaerophoria_scripta","Syritta_pipiens","Vanessa_cardui","Vespa_crabro","Vespula_sp","Volucella_inanis","Volucella_pellucens","Volucella_zonaria","Xanthandrus_sp"
"Achillea_millefolium",0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"Achillea_ptarmica",0,1,0,1,0,3,0,0,0,0,1,4,1,1,0,4,17,102,6,0,10,2,98,1,25,17,1,0,1,5,0,0,0,0,0,158,19,0,0,0,0,0,0,0
"Betonica_officinalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Centaurea_jacea",0,0,0,0,0,0,0,0,16,37,0,0,0,0,2,6,0,1,1,1,1,0,27,0,10,9,1,0,0,0,0,1,3,1,0,9,0,0,1,0,0,0,0,0
"Cirisum_arvense",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cirsium_canum",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cirsium_palustre",0,0,0,0,0,2,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Crepis_biennis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cuscuta_europaea",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Daucus_carota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Galium_sp",0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Heracleum_sphondylium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,33,0,0,0,0
"Hypericum_sp",0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,4,1,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1
"Lathyrus_pratensis",0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Leontodon_autumnalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"Leontodon_hispidus",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
"Leucanthemum_vulgare",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0
"Lysimachia_vulgaris",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mentha_arvensis",0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0
